# STB_ID|ITACH_IP|ITACH_PORT|STB_TYPE|STB_INFO
1|10.177.48.101|1|1|Rack1-S1-STB1-DCT2500
2|10.177.48.101|2|1|Rack1-S1-STB2-DCH6200
3|10.177.48.101|3|1|Rack1-S1-STB3-DCX3200
4|10.177.48.102|1|1|Rack1-S1-STB4-DCX3510
5|10.177.48.102|2|1|Rack1-S2-STB1-Pace Dallas CC
6|10.177.48.102|3|1|Rack1-S2-STB2-Pace Tango
7|10.177.48.103|1|1|Rack1-S2-STB3-Pace Seattle
8|10.177.48.103|2|1|Rack1-S2-STB4-Pace Denali MC 
9|10.177.48.103|3|1|Rack1-S3-STB1-DCX525e
10|10.177.48.104|1|1|Rack1-S3-STB2-DCX3400
11|10.177.48.104|2|1|Rack1-S3-STB3-DCT5100
12|10.177.48.104|3|1|Rack1-S3-STB4-DCT6412
13|10.177.48.105|1|1|Rack1-S4-STB1-DCT6416
14|10.177.48.105|2|1|Rack1-S4-STB2-DCH3416
15|10.177.48.105|3|1|Rack1-S4-STB3-DCH3200
16|10.177.48.106|1|1|Rack1-S4-STB4-DCT2000
#Rack2
17|10.177.48.107|1|1|Rack2-S1-STB1-DCT2500
18|10.177.48.107|2|1|Rack2-S1-STB2-DCH6200
19|10.177.48.107|3|1|Rack2-S1-STB3-DCX3200
20|10.177.48.108|1|1|Rack2-S1-STB4-DCX3510
21|10.177.48.108|2|1|Rack2-S2-STB1-Pace Dallas CC
22|10.177.48.108|3|1|Rack2-S2-STB2-Pace Tango
23|10.177.48.109|1|1|Rack2-S2-STB3-Pace Seattle
24|10.177.48.109|2|1|Rack2-S2-STB4-Pace Denali MC
25|10.177.48.109|3|1|Rack2-S3-STB1-DCX525e
26|10.177.48.110|1|1|Rack2-S3-STB2-DCX3400
27|10.177.48.110|2|1|Rack2-S3-STB3-DCT5100
28|10.177.48.110|3|1|Rack2-S3-STB4-DCT6412
29|10.177.48.111|1|1|Rack2-S4-STB1-DCT6416
30|10.177.48.111|2|1|Rack2-S4-STB2-DCH3416
31|10.177.48.111|3|1|Rack2-S4-STB3-DCH3200
32|10.177.48.112|1|1|Rack2-S4-STB4-DCT2000
#Rack3
33|10.177.48.113|1|1|Rack3-S1-STB1-DCT2500
34|10.177.48.113|2|1|Rack3-S1-STB2-DCH6200
35|10.177.48.113|3|1|Rack3-S1-STB3-DCX3200
36|10.177.48.114|1|1|Rack3-S1-STB4-DCX3510
37|10.177.48.114|2|1|Rack3-S2-STB1-Pace Dallas CC
38|10.177.48.114|3|1|Rack3-S2-STB2-Pace Tango
39|10.177.48.115|1|1|Rack3-S2-STB3-Pace Seattle
40|10.177.48.115|2|1|Rack3-S2-STB4-Pace Denali MC 
41|10.177.48.115|3|1|Rack3-S3-STB1-DCX525e
42|10.177.48.116|1|1|Rack3-S3-STB2-DCX3400
43|10.177.48.116|2|1|Rack3-S3-STB3-DCT5100
44|10.177.48.116|3|1|Rack3-S3-STB4-DCT6412
45|10.177.48.117|1|1|Rack3-S4-STB1-DCT6416
46|10.177.48.117|2|1|Rack3-S4-STB2-DCH3416
47|10.177.48.117|3|1|Rack3-S4-STB3-DCH3200
48|10.177.48.118|1|1|Rack3-S4-STB4-DCT2000
#SuperRack - Rack 7.
101|10.177.47.120|1|1|Rack7-S1-STB1-DCT2500
102|10.177.47.120|2|1|Rack7-S1-STB2-DCX3200
103|10.177.47.120|3|1|Rack7-S1-STB3-DCX525e
104|10.177.47.121|1|1|Rack7-S1-STB4-DCX3520e
105|10.177.47.121|2|1|Rack7-S1-STB5-DCX3400
106|10.177.47.121|3|1|Rack7-S2-STB6-Pace Dallas CC
107|10.177.47.122|1|1|Rack7-S2-STB7-Pace Seattle
108|10.177.47.122|2|1|Rack7-S2-STB8-Pace Tango
109|10.177.47.122|3|1|Rack7-S2-STB9-Pace Dallas MC
110|10.177.47.123|1|1|Rack7-S2-STB10-DCH6416
111|10.177.47.123|2|1|Rack7-S3-STB11-DCH6200
112|10.177.47.123|3|1|Rack7-S3-STB12-DCT6416
113|10.177.47.124|1|1|Rack7-S3-STB13-DCT6412
114|10.177.47.124|2|1|Rack7-S3-STB14-DCH3200
115|10.177.47.124|3|1|Rack7-S3-STB15-DCT2000
#SuperRack - RACK 8
116|10.177.47.125|1|1|Rack8-S1-STB1-DCT2500
117|10.177.47.125|2|1|Rack8-S1-STB2-DCX3200
118|10.177.47.125|3|1|Rack8-S1-STB3-DCX525e
119|10.177.47.126|1|1|Rack8-S1-STB4-DCX3520e
120|10.177.47.126|2|1|Rack8-S1-STB5-DCX3400
121|10.177.47.126|3|1|Rack8-S2-STB6-Pace Dallas CC
122|10.177.47.127|1|1|Rack8-S2-STB7-Pace Seattle
123|10.177.47.127|2|1|Rack8-S2-STB8-Pace Tango
124|10.177.47.127|3|1|Rack8-S2-STB9-Pace Dallas CC
125|10.177.47.128|1|1|Rack8-S2-STB10-DCH6416
126|10.177.47.128|2|1|Rack8-S3-STB11-DCH6200
127|10.177.47.128|3|1|Rack8-S3-STB12-DCT6416
128|10.177.47.129|1|1|Rack8-S3-STB13-DCT6412
129|10.177.47.129|2|1|Rack8-S3-STB14-DCH6416
130|10.177.47.129|3|1|Rack8-S3-STB15-DCT2000
#SuperRack - Rack 9.
